Shift,Serial,OpenMP,OpenCL
432, 69078.312, 69078.312, 69078.297
433, 58007.199, 58007.199, 58007.203
434, 47741.148, 47741.148, 47741.145
435, 58440.887, 58440.887, 58440.883
436, 56186.426, 56186.426, 56186.422
437, 75416.203, 75416.203, 75416.219
438, 54157.914, 54157.914, 54157.918
439, 68078.695, 68078.695, 68078.695
440, 62172.211, 62172.211, 62172.203
441, 62547.621, 62547.621, 62547.621
442, 63160.691, 63160.691, 63160.695
443, 61900.148, 61900.148, 61900.156
444, 52304.844, 52304.844, 52304.848
445, 52780.496, 52780.496, 52780.500
446, 53442.648, 53442.648, 53442.645
447, 60151.953, 60151.953, 60151.957
448, 62266.215, 62266.215, 62266.199
449, 53315.012, 53315.012, 53315.000
450, 54047.422, 54047.422, 54047.406
451, 59750.551, 59750.551, 59750.551
452, 44679.516, 44679.516, 44679.504
453, 60303.984, 60303.984, 60303.977
454, 44729.969, 44729.969, 44729.957
455, 49522.344, 49522.344, 49522.348
456, 41391.414, 41391.414, 41391.418
457, 39860.973, 39860.973, 39860.977
458, 43237.129, 43237.129, 43237.133
459, 46302.898, 46302.898, 46302.898
460, 44817.406, 44817.406, 44817.426
461, 35599.289, 35599.289, 35599.293
462, 36324.406, 36324.406, 36324.406
463, 28471.930, 28471.930, 28471.934
464, 39148.566, 39148.566, 39148.570
465, 27053.209, 27053.209, 27053.209
466, 30416.484, 30416.484, 30416.488
467, 40219.617, 40219.617, 40219.617
468, 24797.158, 24797.158, 24797.166
469, 28719.627, 28719.627, 28719.633
470, 21363.445, 21363.445, 21363.443
471, 10187.189, 10187.189, 10187.186
472, 18502.451, 18502.451, 18502.447
473, 25740.553, 25740.553, 25740.555
474, 16382.473, 16382.473, 16382.469
475, 24426.227, 24426.227, 24426.229
476, 23242.004, 23242.004, 23241.998
477, 20890.613, 20890.613, 20890.615
478, 12831.065, 12831.065, 12831.056
479, 14695.952, 14695.952, 14695.959
480,   759.708,   759.708,   759.707
481,   219.163,   219.163,   219.166
482,  5928.903,  5928.903,  5928.904
483,  2757.834,  2757.834,  2757.842
484, -4880.407, -4880.407, -4880.405
