Shift,Serial,OpenMP,SIMD
507,-38381.449,-38381.449,-38381.383
508,-32759.094,-32759.094,-32759.078
509,-47014.680,-47014.680,-47014.641
510,-25209.361,-25209.361,-25209.387
511,-43290.832,-43290.832,-43290.820
512,-40882.242,-40882.242,-40882.234
513,-60043.234,-60043.234,-60043.207
514,-35788.137,-35788.137,-35788.031
515,-45786.500,-45786.500,-45786.523
516,-41574.738,-41574.738,-41575.016
517,-43474.844,-43474.844,-43474.652
518,-34660.871,-34660.871,-34660.859
519,-46834.223,-46834.223,-46834.207
520,-47169.285,-47169.285,-47169.266
521,-56981.863,-56981.863,-56981.711
522,-60387.668,-60387.668,-60387.547
523,-59774.973,-59774.973,-59774.840
524,-57403.629,-57403.629,-57403.633
525,-51157.547,-51157.547,-51157.738
526,-48395.793,-48395.793,-48395.547
527,-54235.820,-54235.820,-54236.156
528,-64242.340,-64242.340,-64242.098
529,-58565.738,-58565.738,-58565.531
530,-54093.328,-54093.328,-54093.281
531,-62838.898,-62838.898,-62839.035
532,-51311.973,-51311.973,-51312.145
533,-55669.828,-55669.828,-55669.898
534,-58173.375,-58173.375,-58173.266
535,-60170.648,-60170.648,-60170.586
536,-60960.289,-60960.289,-60960.344
537,-49560.844,-49560.844,-49560.875
538,-56180.371,-56180.371,-56180.418
539,-47351.098,-47351.098,-47351.074
540,-59838.922,-59838.922,-59839.156
541,-61318.953,-61318.953,-61319.352
542,-63649.137,-63649.137,-63648.957
543,-66967.906,-66967.906,-66967.836
544,-67024.750,-67024.750,-67024.953
545,-49470.555,-49470.555,-49470.758
546,-58089.355,-58089.355,-58089.543
547,-54942.258,-54942.258,-54942.488
548,-50997.441,-50997.441,-50997.281
549,-64156.676,-64156.676,-64156.766
550,-56895.105,-56895.105,-56894.789
551,-55454.074,-55454.074,-55454.152
552,-66023.523,-66023.523,-66023.555
553,-46902.746,-46902.746,-46902.484
554,-61568.641,-61568.641,-61568.680
555,-54457.641,-54457.641,-54457.797
556,-61327.664,-61327.664,-61327.797
557,-47902.719,-47902.719,-47902.789
558,-55034.805,-55034.805,-55034.684
559,-52768.805,-52768.805,-52768.891
560,-56033.891,-56033.891,-56033.738
561,-37243.852,-37243.852,-37243.812
562,-40968.859,-40968.859,-40968.984
563,-45908.285,-45908.285,-45908.250
564,-51817.566,-51817.566,-51817.734
565,-48924.059,-48924.059,-48924.336
566,-50081.336,-50081.336,-50081.359
567,-45001.094,-45001.094,-45001.160
568,-37528.531,-37528.531,-37528.562
569,-32380.207,-32380.207,-32380.215
570,-36601.191,-36601.191,-36601.043
571,-22559.152,-22559.152,-22559.139
572,-28246.379,-28246.379,-28246.293
573,-36189.246,-36189.246,-36189.086
574,-48147.387,-48147.387,-48147.641
575,-34955.863,-34955.863,-34955.844
576,-26406.889,-26406.889,-26406.895
577,-22010.178,-22010.178,-22010.020
578,-25585.543,-25585.543,-25585.566
579,-16349.272,-16349.272,-16349.118
580,-13369.648,-13369.648,-13369.734
581,-17854.688,-17854.688,-17854.750
582,-16666.863,-16666.863,-16666.812
583,-22238.391,-22238.391,-22238.350
584,-26092.256,-26092.256,-26092.186
585,-14812.691,-14812.691,-14812.611
586,-22360.133,-22360.133,-22360.152
587, -5981.157, -5981.157, -5981.188
588,  4762.872,  4762.872,  4762.860
589, -2660.236, -2660.236, -2660.225
590, -3637.379, -3637.379, -3637.368
591,  -718.174,  -718.174,  -718.170
592, -4800.284, -4800.284, -4800.282
593, -4332.588, -4332.588, -4332.613
594,  1641.885,  1641.885,  1641.879
595, -3164.254, -3164.254, -3164.258
596,  4219.107,  4219.107,  4219.094
597,  7283.185,  7283.185,  7283.141
598, 11095.008, 11095.008, 11095.094
599,  3229.167,  3229.167,  3229.171
600, 10902.054, 10902.054, 10902.054
601, 18392.146, 18392.146, 18392.074
602, 18494.021, 18494.021, 18494.006
603, 25505.523, 25505.523, 25505.422
604,  9309.524,  9309.524,  9309.514
605, 20348.895, 20348.895, 20348.807
606, 31964.348, 31964.348, 31964.387
607, 22353.586, 22353.586, 22353.582
608, 21782.320, 21782.320, 21782.295
609, 35061.883, 35061.883, 35061.938
610, 36656.918, 36656.918, 36656.816
611, 21199.867, 21199.867, 21199.910
612, 36551.355, 36551.355, 36551.508
613, 24853.609, 24853.609, 24853.715
614, 34507.953, 34507.953, 34507.969
615, 38643.410, 38643.410, 38643.312
616, 37465.078, 37465.078, 37465.008
617, 39432.352, 39432.352, 39432.516
618, 31536.039, 31536.039, 31536.074
619, 49390.789, 49390.789, 49390.684
620, 46837.680, 46837.680, 46837.477
621, 44881.312, 44881.312, 44881.250
622, 46470.051, 46470.051, 46470.059
623, 45358.098, 45358.098, 45358.105
624, 42648.238, 42648.238, 42648.617
625, 47890.562, 47890.562, 47890.418
626, 57832.191, 57832.191, 57832.227
627, 53916.184, 53916.184, 53915.938
628, 46617.832, 46617.832, 46617.613
629, 49860.855, 49860.855, 49860.965
630, 45819.199, 45819.199, 45819.062
631, 54592.887, 54592.887, 54592.641
632, 53251.766, 53251.766, 53251.422
633, 51658.852, 51658.852, 51658.812
634, 47169.270, 47169.270, 47169.453
635, 54070.445, 54070.445, 54070.367
636, 48138.414, 48138.414, 48138.375
637, 54897.102, 54897.102, 54896.934
638, 57979.500, 57979.500, 57979.387
639, 60115.590, 60115.590, 60115.680
640, 61786.703, 61786.703, 61786.672
641, 55908.828, 55908.828, 55908.695
642, 67187.555, 67187.555, 67187.742
643, 58973.641, 58973.641, 58973.797
644, 64767.309, 64767.309, 64767.195
645, 59371.984, 59371.984, 59372.070
646, 59019.941, 59019.941, 59019.898
647, 53343.180, 53343.180, 53343.449
648, 52060.992, 52060.992, 52060.906
649, 66781.484, 66781.484, 66781.375
650, 71339.109, 71339.109, 71339.109
651, 57732.621, 57732.621, 57732.617
652, 58941.234, 58941.234, 58941.578
653, 50362.652, 50362.652, 50362.578
654, 60505.723, 60505.723, 60505.578
655, 63438.125, 63438.125, 63438.164
656, 63410.574, 63410.574, 63410.742
657, 55345.078, 55345.078, 55345.047
658, 53361.027, 53361.027, 53361.121
659, 48984.215, 48984.215, 48984.293
660, 40357.109, 40357.109, 40356.820
661, 51916.188, 51916.188, 51916.039
662, 59766.418, 59766.418, 59766.270
663, 59285.555, 59285.555, 59285.484
664, 51021.355, 51021.355, 51021.332
665, 49501.824, 49501.824, 49501.586
666, 59742.406, 59742.406, 59742.504
667, 65644.922, 65644.922, 65644.922
668, 39486.824, 39486.824, 39486.758
669, 47702.145, 47702.145, 47702.219
670, 42687.406, 42687.406, 42687.238
671, 44661.699, 44661.699, 44661.359
672, 45955.762, 45955.762, 45955.805
673, 44657.949, 44657.949, 44658.031
674, 41356.961, 41356.961, 41357.086
675, 40164.664, 40164.664, 40164.738
676, 46898.266, 46898.266, 46898.379
677, 36002.516, 36002.516, 36002.609
678, 34226.121, 34226.121, 34226.027
679, 37435.113, 37435.113, 37435.238
680, 37248.477, 37248.477, 37248.535
681, 31770.148, 31770.148, 31770.092
682, 25034.705, 25034.705, 25034.828
683, 19278.789, 19278.789, 19278.766
684, 21607.666, 21607.666, 21607.713
685, 24189.188, 24189.188, 24189.146
686, 16366.270, 16366.270, 16366.173
687, 12740.178, 12740.178, 12740.191
688, 27159.947, 27159.947, 27160.021
689, 17518.934, 17518.934, 17518.953
690, 21163.178, 21163.178, 21163.191
691, 25445.131, 25445.131, 25445.188
692,  9966.796,  9966.796,  9966.792
693,  4502.795,  4502.795,  4502.818
694,  9331.099,  9331.099,  9331.015
695,  6229.390,  6229.390,  6229.380
696, 11823.110, 11823.110, 11823.082
